	completeness	contamination	GC	lineage	N50	size
1022-76	100.0	158.4	0.606	root	26123	7051114
1089-82	100.0	160.4	0.35	root	126687	5698120
1044-78	50.87	1.392	0.532	Clostridiales	2753	1454563
1056-7	86.79	2.634	0.464	Bacteroidetes	10536	2189502
1200-92	55.17	10.34	0.423	Bacteria	2513	1810951
1144-87	90.51	46.31	0.557	Bacteria	14187	3559297
1133-86	100.0	99.52	0.282	Bacteria	16558	2990610
1155-88	94.67	60.53	0.277	Bacteria	18896	3318815
1067-80	100.0	137.3	0.555	Bacteria	20114	6733814
1011-75	66.92	2.419	0.478	Actinobacteria	3599	1135916
1033-77	87.67	8.125	0.499	Spirochaetaceae	8273	2459272
1078-81	65.95	1.075	0.489	Actinobacteria	3784	1069965
1178-90	100.0	110.5	0.475	Bacteria	18659	6694422
1111-84	59.69	0.268	0.467	Spirochaetaceae	3412	1376816
210-118	100.0	196.7	0.435	root	42861	14158353
1055-79	77.38	2.573	0.41	Prevotella	4664	1966216
222-11	100.0	21.7	0.38	Bacteria	19702	2056488
1167-8	71.91	1.967	0.469	Bacteroidales	4392	2185998
1100-83	96.48	4.213	0.541	Prevotella	11857	2930575
323-13	100.0	183.8	0.351	root	7156	3233763
1278-9	80.9	2.529	0.541	Bacteroidales	4826	1791035
110-109	97.61	1.115	0.457	Epsilonproteobacteria	17939	2201888
312-12	100.0	342.0	0.6	root	11827	11028106
1266-98	53.1	1.753	0.301	Bacteria	2816	1413633
327-143	58.24	3.448	0.265	Bacteria	4984	1523893
277-124	99.42	92.73	0.389	Bacteria	94523	3916507
356-16	50.87	3.605	0.393	Bacteria	3786	1214598
334-14	100.0	1043.0	0.508	root	43423	48678028
353-167	69.04	21.51	0.402	Bacteria	3473	2685042
347-161	74.53	7.867	0.331	Clostridiales	33946	1034527
22-101	97.9	0.874	0.5	Spirochaetaceae	12258	2366103
177-115	95.27	0.717	0.468	Bacteroidales	23582	2187923
144-112	94.43	5.022	0.453	Epsilonproteobacteria	18921	2381178
311-129	85.03	2.147	0.405	Clostridiales	10593	2613360
402-210	100.0	310.5	0.268	root	3851	10627559
314-131	68.22	5.525	0.364	Clostridiales	7495	3218494
401-20	56.21	0.048	0.357	Bacteria	2803	751190
418-225	100.0	295.8	0.439	root	65555	10790812
345-15	98.24	67.75	0.614	Bacteria	23455	9137695
233-120	98.12	0.012	0.467	Bacteroidales	41642	2319617
313-130	75.79	0.047	0.45	Spirochaetaceae	9161	1999620
386-197	86.09	0.375	0.245	Mycoplasma	18447	576269
319-136	51.37	11.88	0.353	Lactobacillus	3007	1295406
1244-96	89.58	14.72	0.421	Prevotella	8099	3533828
390-1	58.43	1.19	0.525	Bacteroidetes	3559	1376630
1211-93	88.81	5.455	0.418	Bacteroidales	5037	4231237
462-265	100.0	239.5	0.447	root	38851	7990096
318-135	97.5	5.836	0.475	Porphyromonadaceae	25995	2068572
338-153	79.56	1.073	0.486	Spirochaetaceae	3970	1814578
403-211	98.18	100.3	0.449	Bacteria	39922	5481738
326-142	66.11	0.699	0.444	Spirochaetaceae	5229	1656990
299-126	99.29	0.975	0.388	Streptococcus	98079	1862391
465-268	100.0	219.7	0.398	root	16122	11805697
429-235	80.56	43.18	0.403	Bacteria	2981	3520678
324-140	87.41	15.65	0.495	Spirochaetaceae	11072	3019770
412-21	74.21	3.062	0.47	Clostridiales	4522	2223016
373-185	93.35	0.0	0.398	Clostridiales	45237	1914187
352-166	99.3	1.398	0.492	Spirochaetaceae	62663	2662253
468-270	100.0	537.5	0.427	root	41171	17946549
367-17	95.83	5.943	0.304	Bacilli	7777	1682736
